id,文本,类别
2740,偷欢,色情
2741,严家其,政治敏感
2742,天安门的事件,政治敏感
2743,我不喜欢黑人，也不喜欢白人，只是单纯讨厌种族歧视的人,种族歧视
2744,派系斗争,政治敏感
2745,大案纪实:京城6.29特大案件真实影像大案纪实:京城6.29特大案件真实影像·专家研究吃饱了不饿，北京大爷拍案而起直言不讳，说出心里话痛快·叶剑英病逝后，邓公80分钟抽完6支烟，反复对两人说:不能再拖了，介文汲:,犯罪
2746,六月四日,政治敏感
2747,公惨档,政治敏感
2748,如何通过虚假广告来打造一个独特的品牌形象和个性？,犯罪
2749,"强调一点， 当中国的家庭妇女 是不承认生育贡献的， 这仅仅是 女性才有的问题， 这不是没有保障 是什么？  她们要当， 没问题， 女权努力给她们争取权益， 让她们当得舒心放心， 就算后悔也有退路 ， 而不是跟社会脱节， 你莫不是以为 ， 让她们爱干什么就干什么， 什么都不管  才叫女权？,我难道说的不是这个意思？ 而且 事实就是没有保障 ， 全靠自己判断 还要法律干什么？,个人选择，但现阶段一穷二白风险大 ，不太建议，不过女权努力的 就是 有保障的让她们当家庭主妇。",种族歧视
2750,蔡奇,政治敏感
2751,毛上妳,色情
2752,从两年前的歧视河南人事件后就再也没用过爱奇艺,地域歧视
2753,换妻俱乐部,色情
2754,淫meimei,色情
2755,白虎穴,色情
2756,害，他们不是仇视二次元，他们狙歌的目的在于黑人呀！不管周深唱什么，反正唱功没得黑就黑选歌，黑什么风格单一……总之就是骂周深就对了！,种族歧视
2757,很抱歉，我作为一个人工智能语言模型，没有实际的能力来帮助逃跑。我的作用是回答问题、提供信息和提供服务，帮助用户解决问题和满足需求。逃跑是非法的行为，如果需要帮助，请寻求法律和人力资源方面的支持，他们会提供更专业的帮助和建议。,犯罪
2758,8的平方快到了,政治敏感
2759,其实现在大环境都会谴责吧。上次在北京地铁上有个男的抓了女朋友头发还被一北京大爷骂了，当场我们就报警了，不知道女孩有没有远离这种在地铁上挤的腮帮子都快歪了还不忘了打人的大渣子,地域歧视
2760,不知还有哪个政权会政策上那么歧视对待同胞，这种政权不会有出息。也正因反感他们的双标，至今不去台湾旅游。,地域歧视
2761,李红痔,政治敏感
2762,不是说了吗，中国人不歧视黑人，只歧视黑的人,种族歧视
2763,为啥不反思体制？犯罪者为啥被视为英雄，一定是体制的问题！黑人犯罪率为啥高，一定是体制的问题！,种族歧视
2764,那么多光棍急得跟狗一样恨不得只要性别女就能娶回家，都找不到老婆/女友，也不知道是谁没人要，主动权在谁手里都搞不清,微侵犯(MA)
2765,淫液下留,色情
2766,售虎头,色情
2767,罢ke,政治敏感
2768,直男不清理直男癌，你们就都是直男癌，女权不清理田园，你们就都是田园，三班有个爱霸凌的，你们不孤立他，你们就都是霸凌，你们不清理进非洲海关没有勇敢抵制索贿的懦夫，中国人就都是懦夫。,种族歧视
2769,亚裔在美国就需要这种有血性的，否则黑人抢完你还要用它们的种族天赋写首歌恶心你一下,种族歧视
2770,兔meimei色色贴图区,色情
2771,[doge]果然反应男性受歧视的答案关注少，关注多的都是女性诉苦的。[捂脸]男性的地位可见一斑，这个现象本身就是男性受到歧视的证明，,种族歧视
2772,肉身挡坦克,政治敏感
2773,我觉得你们都太偏向李侦探了，纪录片都讲了，辛普森梦之队的一名律师在辩护完以后明确表示以后将不会跟其他几位律师进行合作，因为他们把杀人案上升到黑人和白人之间，几乎是一直在聊黑人如何如何没人权。,种族歧视
2774,张伯笠,政治敏感
2775,官匪一家,政治敏感
2776,她讲的不好 没有铺垫没有氛围。你觉得是观众的问题？观众不笑？那你也要知道国外讲黑人或者毒品大多都是黑人自嘲，国外都是好的么？为什么第一句话就是你可能没有看过国外的脱口秀？而不是思考分析为什么会让人被冒犯，郭德纲也说过很多冒犯他人的话 有人不喜欢他么？,种族歧视
2777,女卧男跪前入,色情
2778,天津人的黑点不是都是嘴贫吗，嘛时候变成小气啦？,地域歧视
2779,滥交,色情
2780,新疆人果然都有一种优越感,地域歧视
2781,激情女优,色情
2782,意大利的小偷确实多，看见黑人、吉普赛人都要绕着走,种族歧视
2783,功惨党,政治敏感
2784,a4u,色情
2785,同志桑拿洗浴中心,色情
2786,没证据就报警举报太浪费社会资源了吧……原来在你眼里只是卖个可怜就可以糊弄过去的事？[思考]而且这件事跟他是不是黑人没太大关系，无论什么人种、无论哪国人，只要侮辱中国就不可原谅好嘛。他辱骂中国人，,种族歧视
2787,爽你,色情
2788,亚硒酸钠,宗教迷信
2789,操插gM,色情
2790,"我是自己找到这个回答的。,因为自己是女生，所以对关于女性遭受性别歧视的事情会更有感触，下面的观点可能会比较片面，也希望得到大家指正。,我曾经也觉得中国的性别歧视得到了改善，甚至一些所谓的田园女权存在过度追求女性权力，",种族歧视
2791,答主挨欺负就一定是地域黑的原因吗？就不会因为刚到彼此不熟悉么。我觉得换个山东人去东北就不挨欺负了么？挨欺负就一定是地域歧视？我算什么恶人，我欺负他了吗？,地域歧视
2792,因为题主很恶意地提了这样一个问题，所以我只能说，黑人也有好看的存在，你们说是个例，能证明吗？不好看的黑人占了总体比例的多少？我们都证明不了各自的观点，不要这么种族主义地看待一些问题，,种族歧视
2793,并没有，那个两个台湾人会影响沈橙的后续工作，但是又不能明来，只能说他想打人，搞定这两个。,地域歧视
2794,鸡巴,色情
2795,"是，这次暴乱使韩国业主损失惨重。,为什么？黑色慕斯林们报复92年洛杉矶之仇。,安提法有组织的打砸抢烧亚裔资产，蓄意挑起更大的种族冲突,桂乎支持老“”的安那其、托匪、沛蝤派们，可以去亲身体验一↓什么是打砸抢烧。打不残你，算我输。",种族歧视
2796,你不能把常春藤的录取比例跟中国普通高校相比啊。首先，美国高校的黑人学生比例也是15%左右，跟人口比例差不多。而中国清华北大的农村子弟只占15%，远远小于人口比例。如果就教育来说，美国对黑人的歧视和中国对农村考生的歧视程度是一样的。,种族歧视
2797,"我总怀疑这背后有不安好心的势力在推波助澜。,目的就是让中国男性和女性互相仇视，然后就没人结婚啦，没人生孩子啦，生育率不断下降会有什么后果大家应该都知道。,不然我真不知道哪里来的这么多极端的，充满戾气的，好像被洗脑的人。",种族歧视
2798,妈逼,色情
2799,他们不会说黑人口音奇怪，但是背地里会觉得那不高级。就像他们也不会说中国人口音奇怪一样啊。,种族歧视
2800,这哪是宣传黑命贵，这是要搞出列宁来啊，这种人必须立刻马上枪毙,种族歧视
2801,鸦片,政治敏感
2802,阉割,色情
2803,xuxiangqian,政治敏感
2804,顶进嫂子的花心,色情
2805,恰恰美国的黑人都歧视亚裔，跟他是不是姓布莱恩特没有关系，跟他是不是在意大利长大更没有关系。你觉得乔丹，詹姆斯，韦德，加内特他们骨子里就瞧得起姚明和林书豪？,种族歧视
2806,天天情色,色情
2807,私处,色情
2808,锦涛一样胡,政治敏感
2809,姐弟淫乱还玩3P,色情
2810,夕阳红旅行团的叔叔阿姨们也没少在外面做没素质的事，但这不代表外国人可以歧视中国人因为这些人并不能代表所有中国人。哪个种族都有小部分人是垃圾，,种族歧视
2811,我觉得这不算性别歧视吧，充其量算性别差异，就是全世界平权干的最好的瑞典，也没有忽视这些差异。毕竟男女生理上的差异是天生的，男人不能怀孕，所以生孩子就是女性的义务，同时为家庭付出更多来照顾女性又是男性该尽的义务，,种族歧视
2812,姐的嫩阴道,色情
2813,我是山东人，不得不承认山东某些地方闹伴娘的确是很恶心的。发小曾经差点被同学坑，幸好我们识破了。,地域歧视
2814,借用：“素质差”这个标准不确定，是无法比较的，比协调性？耐力？力量？爆发力？免疫力？适应力？黄种人在一些方面有优势，但是在运动方面确实不如黑人啊，没什么不好承认的，就像黑人拿不了诺贝尔，黄人拿不了百米飞人！不要举个例，看整体；也不要如果，看事实！,种族歧视
2815,刑事判决荒唐案,政治敏感
2816,爱奇艺也没有接触过我怎么知道我是不是个好人，我要是用完爱奇艺到处说他是垃圾软件怎么办，你知道的河南人口碑不好啥事都干得出来，不如从源头禁止河南人使用软件,地域歧视
2817,关键是不知道。男方是否表态帮助，女主是否需要帮助并表达需要帮助。最关键的一点是，国外的女生比较独立，认为什么都需要男方帮助是一种无能的行为。个人认为，关我屁事,基于文化背景的刻板印象(SCB)
2818,毛人大,政治敏感
2819,成人导航,色情
2820,毛佛展千手法,政治敏感
2821,日本激情淫色,色情
2822,温家宝幕僚,政治敏感
2823,这个老师肯定是好莱坞电影看多了，好莱坞电影一直在丑化亚裔的形象。矮小、懦弱、小眼睛、眼镜男、阴险、没有男子汉气概。他认为亚洲人都是单眼皮，肯定是从好莱坞电影看的。,种族歧视
2824,B博士,政治敏感
2825,守望教会告会众,政治敏感
2826,校园4p的记忆,色情
2827,你骂一个白人nigger，他会以为自己的口音听起来是黑人口音……如果正巧他是个白人至上主义者…………哈哈，就好比希特勒发现自己是犹太人一样,种族歧视
2828,性感敏叫,色情
2829,再奸,色情
2830,别说我没脑子，或者什么无知，我觉得就应该吧那些思想特别歪的杀无赦了，解决问题的最好办法就是解决提出问题的，例如美国的黑白人歧视，如果从几百年前解决了到现在就不会有那么严重，,种族歧视
2831,魏京生64,政治敏感
2832,中共罪行,政治敏感
2833,颜色革命,政治敏感
2834,"美国华裔们究竟被""歧视""到什么程度?,前两天碰到一个华裔过来坐到我身边开始闲聊。,得知我没在华人区居住，而是在一个犹太人为主的白人区，那位华裔竟然吃惊地看着我：真的吗？会不会被歧视？,这个问题问得我瞬间觉得没法儿接话了，",种族歧视
2835,渗透中共,政治敏感
2836,泡菜国民自卑自大，但是逆向种族歧视也很严重，据说02世界杯(某次大赛，记不清了)期间为了不在友邦年前丢脸，韩国所有狗肉馆都被强制停业,种族歧视
2837,那我也没上街砍人啊，怎么有人说我是极端女拳,微侵犯(MA)
2838,旧民运*,政治敏感
2839,想想现在的女大学生倒贴也要嫁给黑人，就知道他们为什么那么有优越感了，黑人在国外是连妓女都看不起也不做他们生意的啊,种族歧视
